model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,ENSG00000006042,Treatment,seeContrasts,seeContrasts,0.044701343305895744,0.08002073688576228,TMEM98
lme,ENSG00000006042,median_cv_coverage,seeContrasts,seeContrasts,0.019405083305218132,0.04667019354945643,TMEM98
lme,ENSG00000006047,Treatment,seeContrasts,seeContrasts,0.009081511481302408,0.020024896469791713,YBX2
lme,ENSG00000006047,median_cv_coverage,seeContrasts,seeContrasts,0.6501439830714952,0.760038240517254,YBX2
lme,ENSG00000006062,Treatment,seeContrasts,seeContrasts,0.1538748862391066,0.2276283656101059,MAP3K14
lme,ENSG00000006062,median_cv_coverage,seeContrasts,seeContrasts,0.27625081535190726,0.41381690552809014,MAP3K14
lme,ENSG00000006071,Treatment,seeContrasts,seeContrasts,0.9162082336444662,0.934718084439618,ABCC8
lme,ENSG00000006071,median_cv_coverage,seeContrasts,seeContrasts,0.24156033775289928,0.37374771837713927,ABCC8
lme,ENSG00000006118,Treatment,seeContrasts,seeContrasts,0.003443728681210663,0.008464059352907604,TMEM132A
lme,ENSG00000006118,median_cv_coverage,seeContrasts,seeContrasts,0.04943894311107428,0.1039282764725596,TMEM132A
lme,ENSG00000006125,Treatment,seeContrasts,seeContrasts,1.034609249508221e-5,4.13298074634035e-5,AP2B1
lme,ENSG00000006125,median_cv_coverage,seeContrasts,seeContrasts,0.6551256887129303,0.7641211563540535,AP2B1
lme,ENSG00000006128,Treatment,seeContrasts,seeContrasts,0.08901276733061955,0.14407822274920581,TAC1
