model,gene,variable,df,statistic,contrast_ref,contrast_lvl,estimate,pval,FDR,std.error,hgnc_symbol
lme.contrast,module_27,Treatment,33.24988777006055,-5.28508279433231,(None + None),(CXCL10 + RV16),0.254113272273943,7.790204625734802e-6,1.456429560463463e-5,0.048081228272611506,NA
lme.contrast,module_27,Treatment,32.50198660267389,-2.95329747136147,(None + None),(IFNb + RV16),0.140539824564553,0.005802180902288479,0.009595914569169407,0.04758742589508391,NA
lme.contrast,module_27,Treatment,32.51151041904943,0.727382697805039,(None + RV16),(CXCL10 + RV16),-0.0346187796794071,0.4721974515266333,0.9343293502360811,0.0475936254517371,NA
lme.contrast,module_27,Treatment,33.27432118770599,3.08107244401128,(None + RV16),(IFNb + RV16),-0.148192227388798,0.004121362149653985,0.01363219787962472,0.04809761214048727,NA
lme.contrast,module_27,Treatment,32.73040151736249,2.37916328925223,(CXCL10 + RV16),(IFNb + RV16),-0.11357344770939,0.023341924766385597,0.05282646131339898,0.04773671829186908,NA
lme.contrast,module_28,Treatment,33.79455335635954,4.87699970360452,(None + None),(None + RV16),-0.14889898183181,2.5119573226173323e-5,4.696268037936752e-5,0.03053085726492073,NA
lme.contrast,module_28,Treatment,33.04125352615459,3.96903082118377,(None + None),(CXCL10 + RV16),-0.119204214211074,3.667632777822879e-4,5.632436051656565e-4,0.030033582398717965,NA
lme.contrast,module_28,Treatment,32.28665522661638,1.07272723653728,(None + None),(IFNb + RV16),-0.0317071430604355,0.29134634308791957,0.3579397929365869,0.029557507239943884,NA
lme.contrast,module_28,Treatment,32.2963556600167,-1.00444015632503,(None + RV16),(CXCL10 + RV16),0.0296947676207363,0.322633177672103,0.9343293502360811,0.02956350105453886,NA
lme.contrast,module_28,Treatment,33.06566318693892,-3.89998145178622,(None + RV16),(IFNb + RV16),0.117191838771375,4.454492856651198e-4,0.0038308638567200303,0.030049332341747406,NA
lme.contrast,module_28,Treatment,32.51865222940975,-2.94585823892601,(CXCL10 + RV16),(IFNb + RV16),0.0874970711506384,0.005911423471614763,0.028243467697714977,0.02970172494876657,NA
lme.contrast,module_29,Treatment,33.998708917306544,4.33430601840109,(None + None),(None + RV16),-0.215935345143664,1.230171919222891e-4,2.1158957010633726e-4,0.049820050597932215,NA
lme.contrast,module_29,Treatment,33.208933348430705,3.98877713694142,(None + None),(CXCL10 + RV16),-0.196225869696987,3.445490128562573e-4,5.487262056599653e-4,0.04919449318932177,NA
lme.contrast,module_29,Treatment,32.42774925921171,2.67365724511603,(None + None),(IFNb + RV16),-0.129934033449079,0.011653349386448597,0.01789621512918892,0.04859786484839427,NA
lme.contrast,module_29,Treatment,32.437727840127465,-0.405500020880463,(None + RV16),(CXCL10 + RV16),0.0197094754466772,0.6877722768809107,0.9343293502360811,0.04860536234716341,NA
lme.contrast,module_29,Treatment,33.23437005014465,-1.74748731087517,(None + RV16),(IFNb + RV16),0.0860013116945852,0.08978828959327002,0.13788915901823612,0.04921426963124241,NA
lme.contrast,module_29,Treatment,32.666852941476755,-1.35904183101248,(CXCL10 + RV16),(IFNb + RV16),0.066291836247908,0.18344299472669298,0.2686922160823779,0.04877836335510061,NA
lme.contrast,module_30,Treatment,33.97516282882988,-10.269816504992,(None + None),(None + RV16),0.54103149120348,5.922984654330512e-12,8.489611337873735e-11,0.05268170964305868,NA
lme.contrast,module_30,Treatment,33.264965616712615,-9.87780655701639,(None + None),(CXCL10 + RV16),0.515708912572131,2.0196282432107408e-11,2.8948004819353953e-10,0.05220884916052675,NA
lme.contrast,module_30,Treatment,32.5712904617782,-7.46989896393168,(None + None),(IFNb + RV16),0.386638026048319,1.4982167957565977e-8,1.6105830554383425e-7,0.05175947197079856,NA
lme.contrast,module_30,Treatment,32.58009899601507,0.489182367791014,(None + RV16),(CXCL10 + RV16),-0.025322578631349,0.6279898649812801,0.9343293502360811,0.051765109085385536,NA
